"","aplicacion","consumo_asignado_app","consumo_usado_app","consumo_fantasia_app","General","n_centrales","consumo_x_general_asignado","consumo_x_general_usado"
"117","DCC",5978,861.5742,5116.4258,"Sin Direccion",1,5978,861.5742
"118","DCOH",1056,225.4472,830.5528,"Sin Direccion",1,1056,225.4472
"119","DEB",5500,870.7508,4629.2492,"Sin Direccion",1,5500,870.7508
"120","DEC",4989,796.38675,4192.61325,"Sin Direccion",1,4989,796.38675
"121","DECLARACIONES ANUALES",7948.572265625,2987.44198683624,4961.13027878876,"Servicios al Contribuyente",1,7948.572265625,2987.44198683624
"122","DECLARACIONES Y PAGOS",7611.00244140625,1984.31029902818,5626.69214237807,"Servicios al Contribuyente",1,7611.00244140625,1984.31029902818
"123","DEE",8034,1966.3396,6067.6604,"Sin Direccion",1,8034,1966.3396
"124","DEEPSECURITY",1673.599609375,1185.26206293106,488.337546443939,"TODAS",1,1673.599609375,1185.26206293106
"125","DEO",4199,646.2055,3552.7945,"Sin Direccion",1,4199,646.2055
"126","DEP",8295,1467.7288,6827.2712,"Sin Direccion",1,8295,1467.7288
"127","DESCUBRIMIENTO Y GESTION DE LICENCIAS",114,46.7343,67.2657,"Comunicaciones y Tecnologias de la Informacion",1,114,46.7343
"128","DEW",5580,789.0514,4790.9486,"Sin Direccion",1,5580,789.0514
"129","DNDC",704,148.1128,555.8872,"Sin Direccion",1,704,148.1128
"130","DNDE",240,45.972,194.028,"Sin Direccion",1,240,45.972
"131","DNDS",352,88.176,263.824,"Sin Direccion",1,352,88.176
"132","DNDW",352,47.564,304.436,"Sin Direccion",1,352,47.564
"133","DNS",252.4,79.5514220238095,172.848577976191,"TODAS",1,252.4,79.5514220238095
"134","DOB",652,142.1818,509.8182,"Sin Direccion",1,652,142.1818
"135","DOC",2239.5,1008.814925,1230.685075,"Sin Direccion",1,2239.5,1008.814925
"136","DOCPO",2667,2070.37417459331,596.625825406692,"Sin Direccion",1,2667,2070.37417459331
"137","DOCUMENTUM",1623.890625,791.894231220704,831.996393779296,"Servicios al Contribuyente",1,1623.890625,791.894231220704
"138","DPA",196492.001464844,74445.8743770012,122046.127087843,"Servicios al Contribuyente",1,196492.001464844,74445.8743770012
"139","DPO",592,101.8568,490.1432,"Sin Direccion",1,592,101.8568
"140","DPS",1682,497.10325,1184.89675,"Servicios al Contribuyente",1,1682,497.10325
"141","DSS",2840,796.62485,2043.37515,"Sin Direccion",1,2840,796.62485
"142","DTR",132,76.2102,55.7898,"Sin Direccion",1,132,76.2102
"143","DUMMY",539,150.356787109375,388.643212890625,"Sin Direccion",1,539,150.356787109375
"144","DWH",27222.40625,22812.0410527805,4410.36519721945,"Comunicaciones y Tecnologias de la Informacion",1,27222.40625,22812.0410527805
"145","DYC",12665,2906.662975,9758.337025,"Sin Direccion",1,12665,2906.662975
"146","DYP",22830.3792271205,10838.1546047803,11992.2246223403,"Recaudacion",2,11415.1896135603,5419.07730239013
"147","DYP",22830.3792271205,10838.1546047803,11992.2246223403,"Servicios al Contribuyente",2,11415.1896135603,5419.07730239013
"148","DYP RIF",576,208.1952,367.8048,"Servicios al Contribuyente",1,576,208.1952
"149","E5C",10784.876953125,1843.06788193359,8941.8090711914,"Sin Direccion",1,10784.876953125,1843.06788193359
"150","EFI",6298.5,1257.880875,5040.619125,"Sin Direccion",1,6298.5,1257.880875
"151","EMC",282,22.3203,259.6797,"Sin Direccion",1,282,22.3203
"152","EMCS",212.017578125,128.722000312805,83.2955778121948,"Sin Direccion",1,212.017578125,128.722000312805
"153","EMG",3331.00146484375,1267.11144188423,2063.89002295952,"Sin Direccion",1,3331.00146484375,1267.11144188423
"154","EMG/RFS",2589.00048828125,1033.50219521141,1555.49829306984,"Auditoria Fiscal Federal",1,2589.00048828125,1033.50219521141
"155","EPM",259.9140625,239.016971875,20.897090625,"Comunicaciones y Tecnologias de la Informacion",1,259.9140625,239.016971875
"156","ERMDO",413.5,282.550829218517,130.949170781483,"Sin Direccion",1,413.5,282.550829218517
"157","ERMPO",3322.46666666667,3089.29499731857,233.171669348101,"Sin Direccion",1,3322.46666666667,3089.29499731857
"158","ESX",140262.173214286,87301.4417176766,52960.7314966091,"Sin Direccion",1,140262.173214286,87301.4417176766
"159","EVE",3614.1,1467.37339477307,2146.72660522693,"Sin Direccion",1,3614.1,1467.37339477307
"160","EVER",256,59.0275,196.9725,"Sin Direccion",1,256,59.0275
"161","EVEREST",1861,719.901254296875,1141.09874570312,"Recursos y Servicios",1,1861,719.901254296875
"162","EXCHANGE",290672.207877604,198620.5750569,92051.6328207042,"Sin Direccion",1,290672.207877604,198620.5750569
"163","EXPERIENCE MANAGER",500,173.3642578125,326.6357421875,"Sin Direccion",1,500,173.3642578125
"164","F3241",1156,589.9646,566.0354,"Grandes Contribuyentes",1,1156,589.9646
"165","FIA",6464,1473.5454828125,4990.4545171875,"Auditoria de Comercio Exterior",1,6464,1473.5454828125
"166","FINANZAS",697.6,565.990025359256,131.609974640744,"Sin Direccion",1,697.6,565.990025359256
"167","FOP",5231.54636363636,2658.5863242598,2572.96003937656,"Sin Direccion",1,5231.54636363636,2658.5863242598
"168","FOPAI",11141.7861097301,6049.22038289076,5092.56572683936,"Recursos y Servicios",1,11141.7861097301,6049.22038289076
"169","FORMULARIO3241",600,188.88,411.12,"Grandes Contribuyentes",1,600,188.88
"170","FPK",4710,1023.4882234375,3686.5117765625,"Sin Direccion",1,4710,1023.4882234375
