"","X","servidor","aplicacion","DataCenter","tipo","Powerstate","fv","capacidad_fantasia","capacidad_usada","capacidad_asignada","n_app","consumo_dividido_asignado","consumo_dividido_usado","consumo_dividido_fantasia"
"13",904,"alr21","ALR","QRO","OTROS","poweredOn","fisico",13.8809523809524,57.2190476190476,71.1,1,71.1,57.2190476190476,13.8809523809524
"14",902,"alr40","ALR","QRO","OTROS","poweredOn","fisico",8.14107142857143,11.2089285714286,19.35,1,19.35,11.2089285714286,8.14107142857143
"15",903,"alr96","ALR","QRO","OTROS","poweredOn","fisico",5.28214285714286,22.6178571428571,27.9,1,27.9,22.6178571428571,5.28214285714286
"16",1025,"avmotion2","AVMOTION","QRO","OTROS","poweredOff","virtual",4.77946324387398,3.22053675612602,8,1,8,3.22053675612602,4.77946324387398
"17",1034,"b101","B","QRO","OTROS","poweredOn","fisico",111.123746090857,3368.34292057581,3479.46666666667,1,3479.46666666667,3368.34292057581,111.123746090857
"18",1031,"b102","B","QRO","OTROS","poweredOn","fisico",290.600292088391,5512.86637457828,5803.46666666667,1,5803.46666666667,5512.86637457828,290.600292088391
"19",1027,"b103","B","QRO","OTROS","poweredOn","fisico",122.803371028614,5680.66329563805,5803.46666666667,1,5803.46666666667,5680.66329563805,122.803371028614
"20",1032,"b104","B","QRO","OTROS","poweredOn","fisico",160.98413233457,5055.91586766543,5216.9,1,5216.9,5055.91586766543,160.98413233457
"21",1033,"b107","B","QRO","OTROS","poweredOn","fisico",597.606484857667,4194.32684847567,4791.93333333333,1,4791.93333333333,4194.32684847567,597.606484857667
"22",1028,"b203","B","QRO","OTROS","poweredOn","fisico",230.150881218658,4202.73483306706,4432.88571428571,1,4432.88571428571,4202.73483306706,230.150881218658
"23",1035,"b204","B","QRO","OTROS","poweredOn","fisico",309.137124320894,9923.84858996482,10232.9857142857,1,10232.9857142857,9923.84858996482,309.137124320894
"24",1030,"b205","B","QRO","OTROS","poweredOn","fisico",76.7872222903392,7177.79849199538,7254.58571428571,1,7254.58571428571,7177.79849199538,76.7872222903392
"25",1037,"b206","B","QRO","OTROS","poweredOn","fisico",251.906605970624,8753.57910831509,9005.48571428571,1,9005.48571428571,8753.57910831509,251.906605970624
"26",1026,"b207","B","QRO","OTROS","poweredOn","fisico",88.7064411762083,4156.57927310951,4245.28571428571,1,4245.28571428571,4156.57927310951,88.7064411762083
"27",1029,"b208","B","QRO","OTROS","poweredOn","fisico",60.0250554065683,7147.36065887915,7207.38571428571,1,7207.38571428571,7147.36065887915,60.0250554065683
"28",1036,"b209","B","QRO","OTROS","poweredOn","fisico",146.127762217249,7204.85795206847,7350.98571428571,1,7350.98571428571,7204.85795206847,146.127762217249
"29",1152,"blade10","BLADE","QRO","OTROS","poweredOn","fisico",438.377113000975,398.856220332358,837.233333333333,1,837.233333333333,398.856220332358,438.377113000975
"30",1153,"blade9","BLADE","QRO","OTROS","poweredOn","fisico",451.249645695969,407.983687637364,859.233333333333,1,859.233333333333,407.983687637364,451.249645695969
"31",1770,"centos 64-bit","CENTOS ","QRO","OTROS","poweredOff","virtual",28.1953125,31.8046875,60,1,60,31.8046875,28.1953125
"32",1782,"central07","CENTRALES","CPN","OTROS","poweredOn","virtual",203.843915869141,29.0008106933594,232.8447265625,2,116.42236328125,14.5004053466797,101.921957934571
"33",1782,"central07","CENTRALES","MTY","OTROS","poweredOn","virtual",99.0637889160156,133.780937646484,232.8447265625,2,116.42236328125,66.890468823242,49.5318944580078
"34",1876,"clon appserver_fopai 16oct15","CLON  16OCT","QRO","OTROS","poweredOff","virtual",40.5594,46.4406,87,1,87,46.4406,40.5594
"35",1877,"clon pia_fopai 16oct15","CLON PIA 16OCT","QRO","OTROS","poweredOff","virtual",37.83076171875,79.16923828125,117,1,117,79.16923828125,37.83076171875
"36",3065,"clon-3005799_tqdypprowasj23-clon-3005799","DYP","QRO","PRODUCCION","poweredOn","virtual",74.19375,21.80625,96,1,96,21.80625,74.19375
"37",3133,"clon-3005799_tqdypprowasj24-clon-3005799","DYP","QRO","PRODUCCION","poweredOn","virtual",65.428125,30.571875,96,1,96,30.571875,65.428125
"38",2029,"clon-tqcopprowasx01","COP","QRO","PRODUCCION","poweredOff","virtual",19.6602,22.3398,42,1,42,22.3398,19.6602
"39",2031,"clon-tqcopprowasx02","COP","QRO","PRODUCCION","poweredOn","virtual",19.6602,22.3398,42,1,42,22.3398,19.6602
"40",2025,"clon-tqcopprowasx03","COP","QRO","PRODUCCION","poweredOn","virtual",19.6602,22.3398,42,1,42,22.3398,19.6602
"41",2018,"clon-tqcopprowasx04","COP","QRO","PRODUCCION","poweredOff","virtual",19.4901,22.5099,42,1,42,22.5099,19.4901
"42",3164,"clon-tqdypprowasj01","DYP","QRO","PRODUCCION","poweredOff","virtual",73.632,22.368,96,1,96,22.368,73.632
"43",3130,"clon-tqdypprowasj02","DYP","QRO","PRODUCCION","poweredOff","virtual",47.424,48.576,96,1,96,48.576,47.424
"44",3134,"clon-tqdypprowasj03","DYP","QRO","PRODUCCION","poweredOff","virtual",44.9376,51.0624,96,1,96,51.0624,44.9376
"45",3151,"clon-tqdypprowasj04","DYP","QRO","PRODUCCION","poweredOff","virtual",60.4368,35.5632,96,1,96,35.5632,60.4368
"46",3063,"clon-tqdypprowasj05","DYP","QRO","PRODUCCION","poweredOff","virtual",73.632,22.368,96,1,96,22.368,73.632
"47",3041,"clon-tqdypprowasj06","DYP","QRO","PRODUCCION","poweredOff","virtual",55.7428571428571,40.2571428571429,96,1,96,40.2571428571429,55.7428571428571
"48",4766,"clon-tqidcprodnet30","IDC","QRO","PRODUCCION","poweredOff","virtual",86.57578125,39.42421875,126,1,126,39.42421875,86.57578125
"49",4769,"clon-tqidcproiisx17","IDC","QRO","PRODUCCION","poweredOff","virtual",101.75087890625,44.24912109375,146,1,146,44.24912109375,101.75087890625
"50",4534,"clon-tqidcproiisx29","IDC","QRO","PRODUCCION","poweredOff","virtual",98.7325,47.2675,146,1,146,47.2675,98.7325
"51",235,"clon_del_clon_tqacwuatmshp04","ACW","QRO","UAT","poweredOff","virtual",205.5716,132.4284,338,1,338,132.4284,205.5716
"52",1875,"clon_pruebas_indra","CLON","QRO","OTROS","poweredOff","virtual",112.9323,25.0677,138,1,138,25.0677,112.9323
"53",234,"clon_tqacwpromshp05_clon","ACW","QRO","PRODUCCION","poweredOff","virtual",134.3962890625,154.6037109375,289,1,289,154.6037109375,134.3962890625
"54",298,"clon_tqacwpromshp09_clon","ACW","QRO","PRODUCCION","poweredOff","virtual",283.2639,163.7361,447,1,447,163.7361,283.2639
"55",252,"clon_tqacwpromshp10_clon","ACW","QRO","PRODUCCION","poweredOff","virtual",276.04485,170.95515,447,1,447,170.95515,276.04485
"56",291,"clon_tqacwuatmshp01","ACW","QRO","UAT","poweredOff","virtual",165.9784,48.0216,214,1,214,48.0216,165.9784
"57",264,"clon_tqacwuatmshp02","ACW","QRO","UAT","poweredOff","virtual",154.6471,59.3529,214,1,214,59.3529,154.6471
"58",255,"clon_tqacwuatmshp03","ACW","QRO","UAT","poweredOff","virtual",68.4265,145.5735,214,1,214,145.5735,68.4265
"59",795,"clon_tqagpprocpri01_ori-qro3008960","AGP","QRO","PRODUCCION","poweredOff","virtual",44.540625,19.459375,64,1,64,19.459375,44.540625
"60",788,"clon_tqagpproviin01_clon","AGP","QRO","PRODUCCION","poweredOff","virtual",20.1341371736855,11.8658628263145,32,1,32,11.8658628263145,20.1341371736855
"61",2019,"clon_tqcopprojkbp03_clon_100414","COP","QRO","PRODUCCION","poweredOff","virtual",30.52470703125,62.47529296875,93,1,93,62.47529296875,30.52470703125
"62",1997,"clon_tqcopprojkbp04_clon_100414","COP","QRO","PRODUCCION","poweredOff","virtual",30.52470703125,62.47529296875,93,1,93,62.47529296875,30.52470703125
"63",2003,"clon_tqcopprowasx03_clon_100414","COP","QRO","PRODUCCION","poweredOff","virtual",19.6602,22.3398,42,1,42,22.3398,19.6602
"64",2039,"clon_tqcopprowasx04_clon_100414","COP","QRO","PRODUCCION","poweredOff","virtual",23.2512,18.7488,42,1,42,18.7488,23.2512
"65",3522,"clon_tqeverprotoolf1","EVER","QRO","PRODUCCION","poweredOff","virtual",48.40625,15.59375,64,1,64,15.59375,48.40625
"66",3786,"clon_tqfiaproansr01","FIA","QRO","PRODUCCION","poweredOff","virtual",398,102,500,1,500,102,398
"67",4516,"clon_tqidcproactd02","IDC","QRO","PRODUCCION","poweredOff","virtual",0.0234375,95.9765625,96,1,96,95.9765625,0.0234375
"68",4478,"clon_tqidcprodnet40","IDC","QRO","PRODUCCION","poweredOff","virtual",121.861971374243,4.13802862575729,126,1,126,4.13802862575729,121.861971374243
"69",4746,"clon_tqidcprofscl02","IDC","QRO","PRODUCCION","poweredOff","virtual",2.4140625,29.5859375,32,1,32,29.5859375,2.4140625
"70",2221,"clon_tqsinprocrmp24","CRM","QRO","PRODUCCION","poweredOff","virtual",32.248828125,39.751171875,72,1,72,39.751171875,32.248828125
"71",11616,"clon_tqsinprowasi04","SIN","QRO","PRODUCCION","poweredOff","virtual",26.99033203125,15.00966796875,42,1,42,15.00966796875,26.99033203125
"72",11297,"clon_tqsinprowasi05","SIN","QRO","PRODUCCION","poweredOff","virtual",32.3148,9.6852,42,1,42,9.6852,32.3148
"73",11296,"clon_tqsinprowasi06","SIN","QRO","PRODUCCION","poweredOff","virtual",25.3134,16.6866,42,1,42,16.6866,25.3134
"74",11436,"clon_tqsinprowasi07","SIN","QRO","PRODUCCION","poweredOff","virtual",32.3148,9.6852,42,1,42,9.6852,32.3148
"75",12316,"clon_tqsitstrapch01_clone","SIT","QRO","STRESS","poweredOn","virtual",83.2066,13.7934,97,1,97,13.7934,83.2066
"76",11939,"clon_tqsitstrapch02_clone","SIT","QRO","STRESS","poweredOn","virtual",83.2066,13.7934,97,1,97,13.7934,83.2066
"77",12272,"clon_tqsitstrapch03_clone","SIT","QRO","STRESS","poweredOn","virtual",75.4864,12.5136,88,1,88,12.5136,75.4864
"78",12313,"clon_tqsitstrcohe01_clon","SIT","QRO","STRESS","poweredOn","virtual",121.9791,19.0209,141,1,141,19.0209,121.9791
"79",12162,"clon_tqsitstrcohe02_clon","SIT","QRO","STRESS","poweredOn","virtual",121.9791,19.0209,141,1,141,19.0209,121.9791
"80",12264,"clon_tqsitstrcohe03_clon","SIT","QRO","STRESS","poweredOn","virtual",126.2514,14.7486,141,1,141,14.7486,126.2514
"81",12093,"clon_tqsitstrcohe04_clon","SIT","QRO","STRESS","poweredOn","virtual",126.2514,14.7486,141,1,141,14.7486,126.2514
"82",12373,"clon_tqsitstrcohe05_clon","SIT","QRO","STRESS","poweredOn","virtual",121.9791,19.0209,141,1,141,19.0209,121.9791
"83",12058,"clon_tqsitstrcohe06_clon","SIT","QRO","STRESS","poweredOn","virtual",126.2514,14.7486,141,1,141,14.7486,126.2514
"84",12192,"clon_tqsitstrohsx04_clone","SIT","QRO","STRESS","poweredOn","virtual",72.913,12.087,85,1,85,12.087,72.913
"85",12237,"clon_tqsitstrohsx05_clone","SIT","QRO","STRESS","poweredOn","virtual",72.913,12.087,85,1,85,12.087,72.913
"86",12116,"clon_tqsitstrohsx06_clone","SIT","QRO","STRESS","poweredOn","virtual",72.913,12.087,85,1,85,12.087,72.913
"87",11992,"clon_tqsitstrohsx07_clone","SIT","QRO","STRESS","poweredOn","virtual",72.913,12.087,85,1,85,12.087,72.913
"88",12333,"clon_tqsitstrohsx08_clone","SIT","QRO","STRESS","poweredOn","virtual",72.913,12.087,85,1,85,12.087,72.913
"89",12191,"clon_tqsitstrwebl01_clon","SIT","QRO","STRESS","poweredOn","virtual",564.046889648438,87.9550634765625,652.001953125,1,652.001953125,87.9550634765625,564.046889648438
"90",11998,"clon_tqsitstrwebl02_clon","SIT","QRO","STRESS","poweredOn","virtual",1026.45313671875,101.55076953125,1128.00390625,1,1128.00390625,101.55076953125,1026.45313671875
"91",11975,"clon_tqsitstrwebl03_clon","SIT","QRO","STRESS","poweredOn","virtual",128.9376,15.0624,144,1,144,15.0624,128.9376
"92",12200,"clon_tqsitstrwebl04_clon","SIT","QRO","STRESS","poweredOn","virtual",121.9791,19.0209,141,1,141,19.0209,121.9791
"93",12411,"clon_tqsitstrwebl05_clon","SIT","QRO","STRESS","poweredOn","virtual",126.2514,14.7486,141,1,141,14.7486,126.2514
"94",12132,"clon_tqsitstrwebl06_clon","SIT","QRO","STRESS","poweredOn","virtual",121.9791,19.0209,141,1,141,19.0209,121.9791
"95",12299,"clon_tqsitstrwebl07_clon","SIT","QRO","STRESS","poweredOn","virtual",126.2514,14.7486,141,1,141,14.7486,126.2514
"96",12204,"clon_tqsitstrwebl08_clon","SIT","QRO","STRESS","poweredOn","virtual",121.9791,19.0209,141,1,141,19.0209,121.9791
"97",12118,"clon_tqsituatwebl01","SIT","QRO","UAT","poweredOff","virtual",538.923095703125,140.076904296875,679,1,679,140.076904296875,538.923095703125
"98",12354,"clon_tqsituatwebl02","SIT","QRO","UAT","poweredOff","virtual",122.2166015625,44.7833984375,167,1,167,44.7833984375,122.2166015625
"99",12078,"clon_tqsituatwebl03","SIT","QRO","UAT","poweredOff","virtual",122.2166015625,44.7833984375,167,1,167,44.7833984375,122.2166015625
"100",13156,"clon_tqstiprowebl01_template nivel 3","STI NIVEL ","QRO","PRODUCCION","poweredOff","virtual",57.8923828125,24.1076171875,82,1,82,24.1076171875,57.8923828125
"101",1878,"clone tqsinstrprtl05","CLONE SIN","QRO","STRESS","poweredOff","virtual",64.0872,7.9128,72,1,72,7.9128,64.0872
"102",1989,"converter_app","CONVERTER","QRO","OTROS","poweredOff","virtual",24.474609375,15.525390625,40,1,40,15.525390625,24.474609375
"103",1988,"converter_app_uat","CONVERTER","QRO","UAT","poweredOn","virtual",31.778,8.222,40,1,40,8.222,31.778
"104",1987,"converter_dbx","CONVERTER","QRO","OTROS","poweredOff","virtual",28.294,11.706,40,1,40,11.706,28.294
"105",1990,"converter_web","CONVERTER","QRO","OTROS","poweredOff","virtual",24.066,15.934,40,1,40,15.934,24.066
"106",2045,"cpa_or","CPA","QRO","OTROS","poweredOn","fisico",66.2290843214756,1517.67091567852,1583.9,1,1583.9,1517.67091567852,66.2290843214756
"107",2066,"cpnn1","SIRESI","QRO","OTROS","poweredOn","fisico",12.9017428571429,264.348257142857,277.25,2,138.625,132.174128571428,6.45087142857145
"108",2067,"cpnn1","CPNN1","QRO","OTROS","poweredOn","fisico",12.9017428571429,264.348257142857,277.25,2,138.625,132.174128571428,6.45087142857145
"109",2075,"cpnqn1","CPNQN","QRO","OTROS","poweredOn","fisico",13.9695605119518,34.0304394880482,48,1,48,34.0304394880482,13.9695605119518
"110",2076,"cpnv1","CPNV1","QRO","OTROS","poweredOn","fisico",7.58214285714286,192.817857142857,200.4,1,200.4,192.817857142857,7.58214285714286
"111",2224,"crm","CRM","QRO","OTROS","poweredOn","fisico",88.3777683854607,376.022231614539,464.4,2,232.2,188.01111580727,44.1888841927303
"112",12884,"crm","SOLUCION INTEGRAL","QRO","OTROS","poweredOn","fisico",88.3777683854607,376.022231614539,464.4,2,232.2,188.01111580727,44.1888841927303
"113",251,"depurar_tqacwpromshp06_","ACW","QRO","PRODUCCION","poweredOff","virtual",69.93,80.07,150,1,150,80.07,69.93
"114",322,"depurar_tqacwpromshp08.","ACW.","QRO","PRODUCCION","poweredOff","virtual",95.934375,120.065625,216,1,216,120.065625,95.934375
"115",285,"depurar_tqacwpromshp15_bk","ACW","QRO","PRODUCCION","poweredOff","virtual",290.8862,155.1138,446,1,446,155.1138,290.8862
"116",265,"depurar_tqacwpromshp16_bk","ACW","QRO","PRODUCCION","poweredOff","virtual",349.2626,96.7374,446,1,446,96.7374,349.2626
"117",250,"depurar_tqacwpromshp17_bk","ACW","QRO","PRODUCCION","poweredOff","virtual",349.2626,96.7374,446,1,446,96.7374,349.2626
"118",259,"depurar_tqacwpromshp18_bk","ACW","QRO","PRODUCCION","poweredOff","virtual",371.2058,74.7942,446,1,446,74.7942,371.2058
"119",278,"depurar_tqacwpromshp19_bk","ACW","QRO","PRODUCCION","poweredOff","virtual",340.1642,105.8358,446,1,446,105.8358,340.1642
"120",237,"depurar_tqacwpromshp20_bk","ACW","QRO","PRODUCCION","poweredOff","virtual",371.2058,74.7942,446,1,446,74.7942,371.2058
"121",1684,"depurar_tqccnprocpam01_ova","CCN","QRO","PRODUCCION","poweredOff","virtual",4.746875,3.253125,8,1,8,3.253125,4.746875
"122",4285,"depurar_tqgscuatwbls01_borrar","GSC","QRO","UAT","poweredOff","virtual",151.5202,50.4798,202,1,202,50.4798,151.5202
"123",4349,"depurar_tqgscuatwbls02_borrar","GSC","QRO","UAT","poweredOff","virtual",145.7228,56.2772,202,1,202,56.2772,145.7228
"124",8398,"depurar_tqpemprocohe01","PEM","QRO","PRODUCCION","poweredOff","virtual",125.96235,15.03765,141,1,141,15.03765,125.96235
"125",8399,"depurar_tqpemprocohe02","PEM","QRO","PRODUCCION","poweredOff","virtual",125.96235,15.03765,141,1,141,15.03765,125.96235
"126",8400,"depurar_tqpemprocohe03","PEM","QRO","PRODUCCION","poweredOff","virtual",125.96235,15.03765,141,1,141,15.03765,125.96235
"127",8595,"depurar_tqpocuatcwebl01_clon","POC","QRO","UAT","poweredOff","virtual",149.3705,20.6295,170,1,170,20.6295,149.3705
"128",10764,"depurar_tqsd2uatacdy01_original","SD","QRO","UAT","poweredOff","virtual",112.3552,15.6448,128,1,128,15.6448,112.3552
"129",10762,"depurar_tqsd2uatacdy02_original","SD","QRO","UAT","poweredOff","virtual",117.2096,10.7904,128,1,128,10.7904,117.2096
"130",10769,"depurar_tqsd2uatfshx01.original","SD2.ORIGINAL","QRO","UAT","poweredOff","virtual",191.856,18.144,210,1,210,18.144,191.856
"131",10768,"depurar_tqsd2uatfshx02.original","SD2.ORIGINAL","QRO","UAT","poweredOff","virtual",191.856,18.144,210,1,210,18.144,191.856
"132",2131,"depurar_tqsinprocrmp04_mala","CRM","QRO","PRODUCCION","poweredOff","virtual",37.5624,34.4376,72,1,72,34.4376,37.5624
"133",12395,"depurar_tqsitdevcohe08","SIT","QRO","DESARROLLO","poweredOff","virtual",246.5934,44.4066,291,1,291,44.4066,246.5934
"134",12265,"depurar_tqsitdevcohe09","SIT","QRO","DESARROLLO","poweredOff","virtual",248.7177,42.2823,291,1,291,42.2823,248.7177
"135",12029,"depurar_tqsitdevcohe22","SIT","QRO","DESARROLLO","poweredOff","virtual",119.91345,21.08655,141,1,141,21.08655,119.91345
"136",12385,"depurar_tqsitdevcohe23","SIT","QRO","DESARROLLO","poweredOff","virtual",119.91345,21.08655,141,1,141,21.08655,119.91345
"137",12135,"depurar_tqsitdevwebl13","SIT","QRO","DESARROLLO","poweredOff","virtual",211.04775,79.95225,291,1,291,79.95225,211.04775
"138",12332,"depurar_tqsitdevwebl14","SIT","QRO","DESARROLLO","poweredOff","virtual",211.04775,79.95225,291,1,291,79.95225,211.04775
"139",12194,"depurar_tqsitdevwebl27","SIT","QRO","DESARROLLO","poweredOff","virtual",246.5934,44.4066,291,1,291,44.4066,246.5934
"140",12224,"depurar_tqsitdevwebl28","SIT","QRO","DESARROLLO","poweredOff","virtual",216.6204,74.3796,291,1,291,74.3796,216.6204
"141",12187,"depurar_tqsitdevwebl45","SIT","QRO","DESARROLLO","poweredOff","virtual",227.481,63.519,291,1,291,63.519,227.481
"142",12017,"depurar_tqsitdevwebl46","SIT","QRO","DESARROLLO","poweredOff","virtual",188.4807,102.5193,291,1,291,102.5193,188.4807
"143",12455,"depurar_tqso3proaddm01_anterior","SO","QRO","PRODUCCION","poweredOff","virtual",193.175,56.825,250,1,250,56.825,193.175
"144",13256,"depurar_tqtabdevcohc01","TAB","QRO","DESARROLLO","poweredOff","virtual",245.9692,52.0308,298,1,298,52.0308,245.9692
"145",13241,"depurar_tqtabdevcohc02","TAB","QRO","DESARROLLO","poweredOff","virtual",248.5618,49.4382,298,1,298,49.4382,248.5618
"146",8814,"devps2","PS","QRO","DESARROLLO","poweredOn","fisico",177.436749788673,742.463250211327,919.9,1,919.9,742.463250211327,177.436749788673
"147",2813,"dummy1","DUMMY","QRO","OTROS","poweredOff","virtual",170.887646484375,66.112353515625,237,1,237,66.112353515625,170.887646484375
"148",2811,"dummy2","DUMMY","QRO","OTROS","poweredOff","virtual",159.350927734375,61.649072265625,221,1,221,61.649072265625,159.350927734375
"149",2812,"dummy3","DUMMY","QRO","OTROS","poweredOff","virtual",58.404638671875,22.595361328125,81,1,81,22.595361328125,58.404638671875
"150",2843,"dwh","DWH","QRO","OTROS","poweredOn","fisico",4.71428571428571,8.28571428571429,13,1,13,8.28571428571429,4.71428571428571
"151",2661,"entramite_tqdpaproorcl10","DPA","QRO","PRODUCCION","poweredOff","virtual",223.0611,94.9389,318,1,318,94.9389,223.0611
"152",2707,"entramite_tqdpaproorcl11","DPA","QRO","PRODUCCION","poweredOff","virtual",146.2323,171.7677,318,1,318,171.7677,146.2323
"153",2730,"entramite_tqdpaproorcl12","DPA","QRO","PRODUCCION","poweredOff","virtual",306.6792,11.3208,318,1,318,11.3208,306.6792
"154",3301,"epm","EPM","QRO","OTROS","poweredOn","fisico",0,0,0,1,0,0,0
"155",3605,"everest_tools853","EVEREST","QRO","OTROS","poweredOff","virtual",50.944,13.056,64,1,64,13.056,50.944
"156",3788,"finanzas","FINANZAS","QRO","OTROS","poweredOn","fisico",131.609974640744,565.990025359256,697.6,1,697.6,565.990025359256,131.609974640744
"157",4277,"grpsat1","GRP","QRO","OTROS","poweredOn","fisico",367.473830656523,1542.02616934348,1909.5,2,954.75,771.01308467174,183.736915328261
"158",12763,"grpsat1","SOLUCION INTEGRAL","QRO","OTROS","poweredOn","fisico",367.473830656523,1542.02616934348,1909.5,2,954.75,771.01308467174,183.736915328261
"159",4276,"grpsat2","GRP","QRO","OTROS","poweredOn","fisico",298.232903634827,1265.06709636517,1563.3,2,781.65,632.533548182585,149.116451817413
"160",12762,"grpsat2","SOLUCION INTEGRAL","QRO","OTROS","poweredOn","fisico",298.232903634827,1265.06709636517,1563.3,2,781.65,632.533548182585,149.116451817413
"161",1024,"harvest7","AVL","QRO","OTROS","poweredOn","fisico",4.7375,296.8125,301.55,2,150.775,148.40625,2.36875
"162",4358,"harvest7","HARVEST","QRO","OTROS","poweredOn","fisico",4.7375,296.8125,301.55,2,150.775,148.40625,2.36875
"163",8291,"imagen_tqpamprowebc101","PAM","QRO","PRODUCCION","poweredOff","virtual",272.0559,18.9441,291,1,291,18.9441,272.0559
"164",8363,"imagen_tqpamprowebc102","PAM","QRO","PRODUCCION","poweredOff","virtual",265.5375,25.4625,291,1,291,25.4625,265.5375
"165",8329,"imagen_tqpamprowebc103","PAM","QRO","PRODUCCION","poweredOff","virtual",265.5375,25.4625,291,1,291,25.4625,265.5375
"166",8362,"imagen_tqpamprowebc104","PAM","QRO","PRODUCCION","poweredOff","virtual",265.5375,25.4625,291,1,291,25.4625,265.5375
"167",8279,"imagen_tqpamprowebe101","PAM","QRO","PRODUCCION","poweredOff","virtual",272.0559,18.9441,291,1,291,18.9441,272.0559
"168",8270,"imagen_tqpamprowebe102","PAM","QRO","PRODUCCION","poweredOff","virtual",272.0559,18.9441,291,1,291,18.9441,272.0559
"169",8302,"imagen_tqpamprowebe103","PAM","QRO","PRODUCCION","poweredOff","virtual",272.0559,18.9441,291,1,291,18.9441,272.0559
"170",8326,"imagen_tqpamprowebe104","PAM","QRO","PRODUCCION","poweredOff","virtual",272.0559,18.9441,291,1,291,18.9441,272.0559
"171",6630,"l.1.3.64.1.0","L.1.3.64.1.","QRO","OTROS","poweredOff","virtual",53.0713541666667,55.4286458333333,108.5,1,108.5,55.4286458333333,53.0713541666667
"172",6631,"l.1.4.32.10.0","L.1.4.32.10.","QRO","OTROS","poweredOff","virtual",40.5252,31.4748,72,1,72,31.4748,40.5252
"173",6632,"l.1.4.64.2.0","L.1.4.64.2.","QRO","OTROS","poweredOff","virtual",34.8967,27.1033,62,1,62,27.1033,34.8967
"174",6633,"l.2.2.32.2.0","L.2.2.32.2.","QRO","OTROS","poweredOff","virtual",59.80085,7.19915,67,1,67,7.19915,59.80085
"175",6634,"l.2.2.32.3.0","L.2.2.32.3.","QRO","OTROS","poweredOff","virtual",48.0189,18.9811,67,1,67,18.9811,48.0189
"176",6638,"l.2.2.64.14.0","L.2.2.64.14.","QRO","OTROS","poweredOff","virtual",25.5444,16.4556,42,1,42,16.4556,25.5444
"177",6639,"l.2.2.64.2.2","L.2.2.64.2.","QRO","OTROS","poweredOff","virtual",17.7156,20.2844,38,1,38,20.2844,17.7156
"178",6640,"l.2.2.64.21.0_otro","L.2.2.64.21.","QRO","OTROS","poweredOff","virtual",31.88715,15.11285,47,1,47,15.11285,31.88715
"179",6641,"l.2.2.64.24.0","L.2.2.64.24.","QRO","OTROS","poweredOff","virtual",38.2284,43.7716,82,1,82,43.7716,38.2284
"180",6635,"l.2.2.64.4","L.2.2.64.","QRO","OTROS","poweredOff","virtual",22.9131,19.0869,42,1,42,19.0869,22.9131
"181",6643,"l.2.2.64.6.1","L.2.2.64.6.","QRO","OTROS","poweredOff","virtual",23.1546,18.8454,42,1,42,18.8454,23.1546
"182",6645,"l.3.1.64.16.0","L.3.1.64.16.","QRO","OTROS","poweredOff","virtual",75.53775,69.46225,145,1,145,69.46225,75.53775
"183",6646,"l.3.1.64.4.0","L.3.1.64.4.","QRO","OTROS","poweredOff","virtual",94.983,45.017,140,1,140,45.017,94.983
"184",6647,"lab5","LAB","QRO","OTROS","poweredOn","fisico",615.606400891617,3084.34359910838,3699.95,1,3699.95,3084.34359910838,615.606400891617
